info_loss_args_str,anony_mode,min_k,za,gen,enforcer_str,sample,handler_str,alpha_dm,enforcer,calgo,max_k,data,gen_str,alpha_adm,max_dist,calgo_str,info_loss,range_k,gen_n,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm
"0.50,0.50",anony,2,2.0,zipf,sr,-1,n,0.5,sr,hdbscan,5,email,"zipf#2,5,1,2",0.5,,hdbscan#min,adm,1,1.0,0.2144986274502874,0.008124885189136125,0.008124885189136125,125.33333333333333,1005.0,0.0,33.0,0.08978884303901045
"0.50,0.50",anony,2,2.0,zipf,sr,-1,n,0.5,sr,km,5,email,"zipf#2,5,1,2",0.5,,km#max,adm,1,1.0,0.15029875498131232,0.003388449593295906,0.003388449593295906,148.0,1005.0,0.0,43.0,0.0030350733892725427
"0.50,0.50",anony,2,2.0,zipf,sr,-1,n,0.5,sr,km,5,email,"zipf#2,5,1,2",0.5,,km#mean,adm,1,1.0,0.5058787323746112,0.0007180271117953681,0.0007180271117953681,508.0,1005.0,0.0,14.0,0.0004060955586907913
"0.50,0.50",anony,2,2.0,zipf,sr,-1,n,0.5,sr,km,5,email,"zipf#2,5,1,2",0.5,,km#min,adm,1,1.0,0.502912386657096,0.0007264085114730402,0.0007264085114730402,505.0,1005.0,0.0,18.666666666666668,0.00042482446804121985
"0.50,0.50",anony,2,2.0,zipf,sr,-1,n,0.5,sr,vac,5,email,"zipf#2,5,1,2",0.5,,vac,adm,1,1.0,0.00893759112516074,0.004487869843956627,0.004487869843956627,3.0,1005.0,0.0,0.0,0.005952516498295067
"0.50,0.50",anony,2,,te,kp#0,-1,n,0.5,kp,hdbscan,5,email,"te#2,5,1",0.5,0.0,hdbscan#max,adm,1,0.0,0.013623283723528766,0.013302312026992195,0.013302312026992195,0.0,1005.0,0.0,168.0,0.013623283723528766
"0.50,0.50",anony,2,,te,kp#0,-1,n,0.5,kp,hdbscan,5,email,"te#2,5,1",0.5,0.0,hdbscan#mean,adm,1,0.0,0.2692725781186463,0.013000271874602506,0.013000271874602506,261.0,1005.0,0.0,121.0,0.009571085581332857
"0.50,0.50",anony,2,,te,kp#0,-1,n,0.5,kp,hdbscan,5,email,"te#2,5,1",0.5,0.0,hdbscan#min,adm,1,0.0,0.2692097437475027,0.012933532235828013,0.012933532235828013,261.0,1005.0,0.0,119.0,0.00950825121018928
"0.50,0.50",anony,2,,te,kp#0,-1,n,0.5,kp,km,5,email,"te#2,5,1",0.5,0.0,km#max,adm,1,0.0,0.2557218880720774,0.002554549781954425,0.002554549781954425,255.0,1005.0,0.0,126.0,0.001990544788495334
"0.50,0.50",anony,2,,te,kp#0,-1,n,0.5,kp,km,5,email,"te#2,5,1",0.5,0.0,km#mean,adm,1,0.0,0.7226279052498701,0.0008415930183451272,0.0008415930183451272,726.0,1005.0,0.0,46.0,0.00023984554837751547
"0.50,0.50",anony,2,,te,kp#0,-1,n,0.5,kp,km,5,email,"te#2,5,1",0.5,0.0,km#min,adm,1,0.0,0.7355416945125122,0.0007988242409884201,0.0007988242409884201,739.0,1005.0,0.0,44.0,0.0002183114279349521
"0.50,0.50",anony,2,,te,kp#0,-1,n,0.5,kp,vac,5,email,"te#2,5,1",0.5,0.0,vac,adm,1,0.0,1.0,1.0,1.0,1005.0,1005.0,0.0,0.0,1.0
"0.50,0.50",anony,2,,te,kp#0.25,-1,n,0.5,kp,hdbscan,5,email,"te#2,5,1",0.5,0.25,hdbscan#max,adm,1,0.0,0.013677561022181204,0.013441122271079627,0.013441122271079627,0.0,1005.0,0.0,168.0,0.013677561022181204
"0.50,0.50",anony,2,,te,kp#0.25,-1,n,0.5,kp,hdbscan,5,email,"te#2,5,1",0.5,0.25,hdbscan#mean,adm,1,0.0,0.016860473750649734,0.015633196030735947,0.015633196030735947,1.0,1005.0,0.0,163.0,0.015865448875027846
"0.50,0.50",anony,2,,te,kp#0.25,-1,n,0.5,kp,hdbscan,5,email,"te#2,5,1",0.5,0.25,hdbscan#min,adm,1,0.0,0.016756197689590434,0.015437503673033875,0.015437503673033875,1.0,1005.0,0.0,162.0,0.015761172813968542
"0.50,0.50",anony,2,,te,kp#0.25,-1,n,0.5,kp,km,5,email,"te#2,5,1",0.5,0.25,km#max,adm,1,0.0,0.0443960015133996,0.011283348865730635,0.011283348865730635,33.0,1005.0,0.0,161.0,0.01156018061787721
"0.50,0.50",anony,2,,te,kp#0.25,-1,n,0.5,kp,km,5,email,"te#2,5,1",0.5,0.25,km#mean,adm,1,0.0,0.07376677380687183,0.016609722289526396,0.016609722289526396,58.0,1005.0,0.0,176.0,0.016055331020802168
"0.50,0.50",anony,2,,te,kp#0.25,-1,n,0.5,kp,km,5,email,"te#2,5,1",0.5,0.25,km#min,adm,1,0.0,0.07771671139681831,0.017076694047550973,0.017076694047550973,61.0,1005.0,0.0,173.0,0.017020193983882992
"0.50,0.50",anony,2,,te,kp#0.25,-1,n,0.5,kp,vac,5,email,"te#2,5,1",0.5,0.25,vac,adm,1,0.0,1.0,1.0,1.0,1005.0,1005.0,0.0,0.0,1.0
"0.50,0.50",anony,2,,te,kp#0.50,-1,n,0.5,kp,hdbscan,5,email,"te#2,5,1",0.5,0.5,hdbscan#max,adm,1,0.0,0.01181929725926162,0.011867362776211395,0.011867362776211395,0.0,1005.0,0.0,171.0,0.01181929725926162
"0.50,0.50",anony,2,,te,kp#0.50,-1,n,0.5,kp,hdbscan,5,email,"te#2,5,1",0.5,0.5,hdbscan#mean,adm,1,0.0,0.01598093399385447,0.015820734253244668,0.015820734253244668,0.0,1005.0,0.0,161.0,0.01598093399385447
"0.50,0.50",anony,2,,te,kp#0.50,-1,n,0.5,kp,hdbscan,5,email,"te#2,5,1",0.5,0.5,hdbscan#min,adm,1,0.0,0.01583457976641314,0.015570652298676428,0.015570652298676428,0.0,1005.0,0.0,163.0,0.01583457976641314
